artistId,artistName,trackId,trackName,artistPopularity,trackPopularity,trackExplicitness,contentAdvisoryRating,trackNumber,trackTimeMillis,trackPrice,isStreamable,previewUrl,collectionId,collectionName,collectionCensoredName,trackCount,discNumber,discCount,collectionPrice,primaryGenreName,releaseDate,currency,kind
1419227,Beyoncé,296016893,Halo,86.0,75.0,notExplicit,,2,261640,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/a4/4e/1c/a44e1cce-6df2-b9c9-8915-35f7f03c7830/mzaf_2947807885494696932.plus.aac.p.m4a,296016891,I AM...SASHA FIERCE,I AM...SASHA FIERCE,7,1,2,9.99,Pop,2008-11-12T08:00:00Z,USD,song
472054,John Mayer,184335876,In Repair,77.0,,notExplicit,,11,369827,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/98/22/e4/9822e483-8713-ad62-90e4-576d19cbf52c/mzaf_11700415454769467029.plus.aac.p.m4a,184335550,Continuum,Continuum,12,1,1,10.99,Pop,2006-06-12T12:00:00Z,USD,song
159260351,Taylor Swift,1468058706,ME! (feat. Brendon Urie of Panic! At The Disco),100.0,,notExplicit,,16,193000,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/18/f9/38/18f93863-1743-befd-cfc0-695e514b0a58/mzaf_10311339292594437430.plus.aac.p.m4a,1468058165,Lover,Lover,18,1,1,11.99,Pop,2019-04-26T07:00:00Z,USD,song
123055194,Eric Church,721280659,Springsteen,72.0,77.0,notExplicit,,9,263387,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/48/36/de/4836de15-f235-5d16-3ad7-84c3f9309c51/mzaf_12048255587385919916.plus.aac.p.m4a,721280109,Chief,Chief,11,1,1,9.99,Country,2011-07-26T07:00:00Z,USD,song
548421,Wham!,193084947,Wake Me Up Before You Go-Go,84.0,78.0,notExplicit,,1,231333,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/3c/9c/ed/3c9cedc5-3895-02f5-40b1-8b10045f9648/mzaf_2672635140129181752.plus.aac.p.m4a,193084944,Make It Big,Make It Big,8,1,1,7.99,Pop,1984-05-01T07:00:00Z,USD,song
642591128,Bryson Tiller,1031354880,Exchange,81.0,76.0,explicit,Explicit,3,194614,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/dd/58/88/dd588879-7348-a58c-9285-897abb91975f/mzaf_16443409241520981207.plus.aac.p.m4a,1031354875,T R A P S O U L,T R A P S O U L,14,1,1,9.99,R&B/Soul,2015-09-25T07:00:00Z,USD,song
396754057,One Direction,695319736,Little Black Dress,85.0,,notExplicit,,10,157653,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4f/f0/4d/4ff04d85-9116-e2de-899f-91e7ba6ef74f/mzaf_15294480048153987282.plus.aac.p.m4a,695318295,Midnight Memories (Deluxe Edition),Midnight Memories (Deluxe Edition),18,1,2,14.99,Pop,2013-11-25T08:00:00Z,USD,song
106158,Cher,73273491,Believe,,,notExplicit,,1,239027,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/c1/0d/a8/c10da837-e5d3-fee3-e494-cea140cd3400/mzaf_7420600068893534947.plus.aac.p.m4a,73273758,Believe,Believe,10,1,1,9.99,Pop,1998-10-19T07:00:00Z,USD,song
396754057,One Direction,1040171619,End of the Day,85.0,,notExplicit,,5,194973,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/27/4e/bf/274ebf40-4a74-c53c-6870-360967e2a27e/mzaf_5777588351846415841.plus.aac.p.m4a,1040170924,Made In The A.M. (Deluxe Edition),Made In The A.M.,17,1,1,14.99,Pop,2015-11-13T08:00:00Z,USD,song
32940,Michael Jackson,159294541,Another Part of Me,87.0,,notExplicit,,7,226586,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/a4/b3/96/a4b3961a-1373-51e8-fea1-a391ab841136/mzaf_13124962062832561516.plus.aac.p.m4a,159292399,The Essential Michael Jackson,The Essential Michael Jackson,17,2,2,16.99,Pop,1987-08-31T07:00:00Z,USD,song
